Setting number, Number of robots, Robots velocity, Locusts velocity, Number of dead robots, Algorithm, Reaching time to MEP, Living locusts, Dead locusts, Run away locusts, Living locusts in MEP, Polygon Area, Polygon circumference, Long edge length, Short edge length, Ratio between long edge length to short edge length
1,40,8,6.0,4,ZigZag,17000,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,11,89,11,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,15,85,14,1,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,12,88,12,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,7,93,7,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,16,84,16,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,20,80,20,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,23,77,23,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,9,91,9,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,10,90,10,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,14,86,14,0,1896.00000,165.32700,37.64306,13.34166,2.82147
1,40,8,6.0,4,ZigZag,17000,18,82,18,0,1896.00000,165.32700,37.64306,13.34166,2.82147
